"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.94707035139797,0.0311776081071172,0.867456141085799,0.995320454565414,0.0368,3
"5","Synergy_score",5.06385879568573,3.05769058956589,0.362213734306565,12.925301563625,0.0368,3
"6","CI",0.896942250497074,0.0588760696917129,0.753016030075235,0.990789863425318,0.0368,6
"7","Synergy_score",9.43291252228832,5.67551378178499,0.554331541634072,23.6942205901266,0.0368,6
"8","CI",0.84946741236195,0.0835175492508481,0.653496646226167,0.986547439862472,0.0368,9
"9","Synergy_score",13.1819073834747,7.93100084598748,0.592348769769491,32.8395059092855,0.0368,9
"10","CI",0.804505400726756,0.105471427165312,0.567380392877862,0.982192802546483,0.0368,12
"11","Synergy_score",16.3781584788798,9.88841759500887,0.525012617161064,40.6193448628034,0.0368,12
"12","CI",0.761923212567854,0.125061428413186,0.493328524778816,0.978039722510321,0.0368,15
"13","Synergy_score",19.0822655360847,11.6008902082116,0.450733225086603,47.0850203715996,0.0368,15
"14","CI",0.721594884664908,0.14257172402372,0.428387294117927,0.973779181563478,0.0368,18
"15","Synergy_score",21.3487606490378,13.1122093031793,0.306564017004186,52.8078976449645,0.0368,18
"16","CI",0.683401120986572,0.158252163160212,0.372584563453322,0.970153052878794,0.0368,21
"17","Synergy_score",23.2266944424233,14.4583641077654,0.191281165099185,58.5800828509643,0.0368,21
"18","CI",0.647228939798519,0.172322768088713,0.324107799072568,0.966576589930085,0.0368,24
"19","Synergy_score",24.7601664770984,15.6688480829661,0.0979689118002469,62.9779189990099,0.0368,24
"20","CI",0.612971339449919,0.184977603004248,0.281841935093595,0.962997008255871,0.0368,27
"21","Synergy_score",25.9888051641611,16.7677692262609,-0.0594713506948932,67.2080715931813,0.0368,27
"22","CI",0.580526981849719,0.196388109987767,0.244953115960247,0.959639057521083,0.0368,30
"23","Synergy_score",26.9482019591468,17.7747921661023,-0.124716080294284,71.4490803751534,0.0368,30
