"","Model","Metric","Estimate","lwr","upr","pval","Time","Simulation"
"1","Bliss","CI",0.893903485922467,0.610253132597387,1.30939670681137,0.564700904440428,3,1
"2","Bliss","CI",0.814716992636567,0.506729878045162,1.3098966665463,0.397680664534307,6,1
"3","Bliss","CI",0.907815210895993,0.560333108852937,1.47078308262244,0.694425699159409,9,1
"4","Bliss","CI",0.878897595938864,0.563718167176094,1.3702964160561,0.568890468441087,12,1
"5","Bliss","CI",0.88033373324444,0.604317137234267,1.28241850865742,0.506677475010037,15,1
"6","Bliss","CI",0.901143822067515,0.601168926837091,1.35080199890389,0.614261640372524,18,1
"7","Bliss","CI",0.890027207261165,0.614529312209228,1.28903278318384,0.537576325994684,21,1
"8","Bliss","CI",0.915879918124652,0.623575116638293,1.34520445419022,0.654146274470136,24,1
"9","Bliss","CI",0.90613235355851,0.608024619250811,1.35039900716058,0.628222286760274,27,1
"10","Bliss","CI",0.968123234538294,0.646097383846989,1.45065220922618,0.87523988949749,30,1
"11","Bliss","SS",0.575873180829441,-1.38409080371061,2.53583716536949,0.564700904440428,3,1
"12","Bliss","SS",0.845770716439252,-1.1141932681008,2.80573470097931,0.397680664534307,6,1
"13","Bliss","SS",0.392856192004024,-1.56710779253603,2.35282017654408,0.694425699159409,9,1
"14","Bliss","SS",0.569686322503358,-1.3902776620367,2.52965030704341,0.568890468441087,12,1
"15","Bliss","SS",0.664020055544647,-1.29594392899541,2.6239840400847,0.506677475010037,15,1
"16","Bliss","SS",0.503999625184996,-1.45596435935506,2.46396360972505,0.614261640372524,18,1
"17","Bliss","SS",0.616482185324796,-1.34348179921526,2.57644616986485,0.537576325994684,21,1
"18","Bliss","SS",0.448009591430112,-1.51195439310994,2.40797357597017,0.654146274470136,24,1
"19","Bliss","SS",0.484230509423612,-1.47573347511644,2.44419449396367,0.628222286760274,27,1
"20","Bliss","SS",0.157006291758673,-1.80295769278138,2.11697027629873,0.87523988949749,30,1
"21","Bliss","CI",0.967703457076947,0.655226906451664,1.42919952098725,0.868935852478029,3,2
"22","Bliss","CI",0.803598358387359,0.547793969098028,1.17885620877892,0.263411777950421,6,2
"23","Bliss","CI",0.633171756567222,0.430627061725876,0.930982998856737,0.0201491756443834,9,2
"24","Bliss","CI",0.677598339389009,0.433222947820247,1.05982268910937,0.0881240360283508,12,2
"25","Bliss","CI",0.738244123880346,0.478470647475643,1.13905500644447,0.170205082498892,15,2
"26","Bliss","CI",0.741770144224076,0.466915658473883,1.17842042106837,0.205936775604467,18,2
"27","Bliss","CI",0.843506850192805,0.522485652225049,1.36176716679623,0.486170734255181,21,2
"28","Bliss","CI",0.822765115079627,0.525060719188505,1.28926505040831,0.394613347704939,24,2
"29","Bliss","CI",0.82923447972693,0.544545233292913,1.2627597861978,0.382836844295183,27,2
"30","Bliss","CI",0.8572594953174,0.557468500536702,1.31826971677202,0.483015212942897,30,2
"31","Bliss","SS",0.165010328568875,-1.79495365597118,2.12497431310893,0.868935852478029,3,2
"32","Bliss","SS",1.11836349680036,-0.84160048773969,3.07832748134042,0.263411777950421,6,2
"33","Bliss","SS",2.32355837341642,0.363594388876366,4.28352235795647,0.0201491756443834,9,2
"34","Bliss","SS",1.70537753153036,-0.254586453009696,3.66534151607041,0.0881240360283508,12,2
"35","Bliss","SS",1.37154513846916,-0.588418846070892,3.33150912300922,0.170205082498892,15,2
"36","Bliss","SS",1.26481744704771,-0.695146537492339,3.22478143158777,0.205936775604467,18,2
"37","Bliss","SS",0.69641218507597,-1.26355179946408,2.65637616961602,0.486170734255181,21,2
"38","Bliss","SS",0.851280872253427,-1.10868311228663,2.81124485679348,0.394613347704939,24,2
"39","Bliss","SS",0.872681242825697,-1.08728274171436,2.83264522736575,0.382836844295183,27,2
"40","Bliss","SS",0.701461244016197,-1.25850274052386,2.66142522855625,0.483015212942897,30,2
"41","Bliss","CI",0.965197085603503,0.620987735075561,1.50019937824398,0.874909899731008,3,3
"42","Bliss","CI",0.969307869384726,0.659777592467025,1.4240522205945,0.87380421966877,6,3
"43","Bliss","CI",1.04115840227693,0.656079719645366,1.65225472785195,0.86408058969658,9,3
"44","Bliss","CI",1.16919017400276,0.786327784000921,1.73846796564803,0.439938715760563,12,3
"45","Bliss","CI",1.01129939721016,0.687590828145958,1.48740563272977,0.954479586778614,15,3
"46","Bliss","CI",1.0370474737159,0.716079220767443,1.50188335529123,0.847333379136144,18,3
"47","Bliss","CI",1.13933624411308,0.776489915083417,1.67173720087561,0.504889233882578,21,3
"48","Bliss","CI",1.09264010662831,0.732730256462304,1.62933411317939,0.663868035964319,24,3
"49","Bliss","CI",1.10452913980533,0.711445988825838,1.7147958381107,0.657776710430221,27,3
"50","Bliss","CI",1.05586109576437,0.682052112967456,1.63454174886771,0.807394533350061,30,3
"51","Bliss","SS",0.157425015504215,-1.80253896903584,2.11738900004427,0.874909899731008,3,3
"52","Bliss","SS",0.158828213665632,-1.80113577087442,2.11879219820569,0.87380421966877,6,3
"53","Bliss","SS",-0.171182090052963,-2.13114607459302,1.78878189448709,0.86408058969658,9,3
"54","Bliss","SS",-0.772296706279918,-2.73226069081997,1.18766727826014,0.439938715760563,12,3
"55","Bliss","SS",-0.0570823617715096,-2.01704634631156,1.90288162276854,0.954479586778614,15,3
