"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.886495540389892,0.0589712732929248,0.768895152901076,1.00132468639703,0.0344,3
"5","Synergy_score",8.68071198114195,5.05240468054861,-0.0995612813340083,20.081183895787,0.0344,3
"6","CI",0.754939174810273,0.118552296678262,0.541649084984451,1.00331124041424,0.0344,7
"7","Synergy_score",13.1080938419157,8.37755466112102,-0.0455323953023723,33.8894026870034,0.0344,7
"8","CI",0.669250211734932,0.152616994967402,0.416504214134112,1.00483717625141,0.0344,10
"9","Synergy_score",13.5303068731987,9.41217283992303,-0.0115218988244549,38.5666424872623,0.0344,10
"10","CI",0.569933157663215,0.187866766100517,0.293733632249504,1.00760728837282,0.0344,14
"11","Synergy_score",12.3045932196184,9.74602658160026,0.0590662114937315,40.3492459060797,0.0344,14
"12","CI",0.50524320258877,0.208710040162968,0.226159875552645,1.00974876664391,0.0344,17
"13","Synergy_score",10.8259369091214,9.55762853459009,0.134150154733989,40.1009495291887,0.0344,17
"14","CI",0.430264867743281,0.231299367555837,0.159529135317608,1.01266396841627,0.0344,21
"15","Synergy_score",8.71906572857968,9.01474389815895,0.153924674297491,38.0693847780626,0.0344,21
"16","CI",0.381427886440865,0.24551683234257,0.122735520149241,1.01482322282904,0.0344,24
"17","Synergy_score",7.23985235768737,8.50509368226285,0.158066489619465,35.873562762115,0.0344,24
"18","CI",0.324823804203963,0.262185684221863,0.0865598835056661,1.01851968035383,0.0344,28
"19","Synergy_score",5.52687603230826,7.78895511231677,0.119079448780991,32.7295352501148,0.0344,28
"20","CI",0.287954853839293,0.273700066661749,0.0666811842158012,1.02117661070007,0.0344,31
"21","Synergy_score",4.45771760974332,7.26336271663326,0.0949776095810117,30.3005113348894,0.0344,31
"22","CI",0.245222214704474,0.288611346443021,0.0471566505351065,1.02593445695922,0.0344,35
"23","Synergy_score",3.30481658137754,6.60923010790408,0.0678755779278202,27.1776964202339,0.0344,35
"24","CI",0.217388399740049,0.299969216183925,0.036315499388168,1.03066909290604,0.0344,38
"25","Synergy_score",2.62069785959781,6.16395397812121,0.0597998003143381,25.115672751506,0.0344,38
"26","CI",0.185127856414143,0.316001763468287,0.0258914244248387,1.03526424594683,0.0344,42
"27","Synergy_score",1.90846136940284,5.63606704114952,0.0393790296240113,22.3698386211688,0.0344,42
"28","CI",0.164115019113078,0.329107300271484,0.0200128270267518,1.03794736135955,0.0344,45
"29","Synergy_score",1.49721043487832,5.28913030546771,0.0300980531305731,20.5440662178308,0.0344,45
"30","CI",0.139760271155688,0.348614982370568,0.0141522192628116,1.04301665844182,0.0344,49
"31","Synergy_score",1.07765326239094,4.88795328112015,0.0202125336989069,18.2806000031294,0.0344,49
