"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.974982303300451,0.0201115238217361,0.939108860814388,1.01801527853017,0.1134,3
"5","Synergy_score",2.39348053172129,1.97950038547692,-1.62689337411569,6.10038064721829,0.1134,3
"6","CI",0.950590491749053,0.0393028054132753,0.881945395975097,1.03638991591798,0.1134,6
"7","Synergy_score",4.52246989041065,3.81026680616467,-2.98097634482314,11.8022209042738,0.1134,6
"8","CI",0.926808907141001,0.0576414679219675,0.828265014087148,1.05515805784085,0.1134,9
"9","Synergy_score",6.40923153252668,5.50787262092778,-4.11185048319502,17.2394306731352,0.1134,9
"10","CI",0.903622283003707,0.0751911227952143,0.777847587015422,1.07433052939999,0.1134,12
"11","Synergy_score",8.07433826134325,7.08619601545522,-4.97702240165366,22.3926525851743,0.1134,12
"12","CI",0.881015734796566,0.0920116742829112,0.730786526311958,1.09378963077649,0.1134,15
"13","Synergy_score",9.53679427430514,8.55761538683635,-5.7019674726196,27.3106528803012,0.1134,15
"14","CI",0.858974750355896,0.108159602923928,0.686581988633255,1.11358994862363,0.1134,18
"15","Synergy_score",10.8141486427038,9.93318295315222,-6.24026025192908,31.9143491829467,0.1134,18
"16","CI",0.837485180578921,0.123688229733756,0.644910317496382,1.13452492015993,0.1134,21
"17","Synergy_score",11.922600815333,11.2227789335995,-6.64809924565245,36.1923006797564,0.1134,21
"18","CI",0.816533230340831,0.13864796267693,0.605770635706148,1.15612167881193,0.1134,24
"19","Synergy_score",12.8770986973308,12.4352483907875,-6.90694858034028,40.4807243952922,0.1134,24
"20","CI",0.796105449639062,0.153086526885589,0.569022454386846,1.17754729825812,0.1134,27
"21","Synergy_score",13.6914298177124,13.5785226044608,-7.14537358201064,44.3369867862375,0.1134,27
"22","CI",0.776188724959133,0.167049179973655,0.5346596350058,1.19941409327727,0.1134,30
"23","Synergy_score",14.3783060639544,14.6597266500966,-7.20918062639743,48.1584956296297,0.1134,30
