"","Model","Metric","Estimate","lwr","upr","pval","Time","Simulation"
"1","Bliss","CI",0.829313136470956,0.566158369806521,1.2147842635592,0.336571712073429,3,1
"2","Bliss","CI",0.701233414091328,0.4361464478244,1.12743850945258,0.142952123686071,6,1
"3","Bliss","CI",0.724905169536915,0.447435075302391,1.17444414581535,0.191276831620825,9,1
"4","Bliss","CI",0.651103353184869,0.417612691534436,1.01514054798218,0.0582719477841203,12,1
"5","Bliss","CI",0.605043936616936,0.415340689344282,0.881392492064437,0.00885188875931251,15,1
"6","Bliss","CI",0.57459466961029,0.383322231634267,0.861309381762045,0.00729926820688996,18,1
"7","Bliss","CI",0.526500368887757,0.363528109679836,0.762534260921612,0.000687431615272934,21,1
"8","Bliss","CI",0.502645556331653,0.34222528006829,0.738263857215753,0.00045295242034385,24,1
"9","Bliss","CI",0.461363105734545,0.309579637548141,0.687564327611584,0.00014457452550455,27,1
"10","Bliss","CI",0.457309034927334,0.305194795250459,0.685239580362258,0.000149515875775178,30,1
"11","Bliss","SS",0.96096113035435,-0.999002854185704,2.9209251148944,0.336571712073429,3,1
"12","Bliss","SS",1.46488563120483,-0.495078353335221,3.42484961574489,0.142952123686071,6,1
"13","Bliss","SS",1.30681122592165,-0.653152758618406,3.2667752104617,0.191276831620825,9,1
"14","Bliss","SS",1.89364649404079,-0.0663174904992592,3.85361047858085,0.0582719477841203,12,1
"15","Bliss","SS",2.61772200162116,0.657758017081107,4.57768598616121,0.00885188875931251,15,1
"16","Bliss","SS",2.68287309809006,0.722909113550007,4.64283708263011,0.00729926820688996,18,1
"17","Bliss","SS",3.39454332798323,1.43457934344318,5.35450731252328,0.000687431615272934,21,1
"18","Bliss","SS",3.50713903380606,1.547175049266,5.46710301834611,0.00045295242034385,24,1
"19","Bliss","SS",3.80020827494163,1.84024429040158,5.76017225948168,0.00014457452550455,27,1
"20","Bliss","SS",3.79187216601346,1.83190818147341,5.75183615055352,0.000149515875775178,30,1
"21","Bliss","CI",0.89778057900076,0.607882487213754,1.32593056221328,0.587831940442994,3,2
"22","Bliss","CI",0.691663516906082,0.471490639646632,1.0146509397884,0.0593526393060541,6,2
"23","Bliss","CI",0.505597916879291,0.343862691164305,0.743405027998614,0.00052530757193257,9,2
"24","Bliss","CI",0.501977196123053,0.320939453600117,0.785135958203269,0.00252857414694016,12,2
"25","Bliss","CI",0.507387271473397,0.328847744517726,0.782860297949652,0.00216716204967473,15,2
"26","Bliss","CI",0.472973525989814,0.297718568276954,0.751394034916678,0.00152334294148483,18,2
"27","Bliss","CI",0.498981002111709,0.309079190529453,0.805560672143277,0.00444490137790837,21,2
"28","Bliss","CI",0.45154306892794,0.288159432479726,0.707563661346422,0.000521482770555343,24,2
"29","Bliss","CI",0.422210059542127,0.277258701776244,0.64294225298086,5.85724820719171e-05,27,2
"30","Bliss","CI",0.404940712607582,0.263329473863432,0.62270652168689,3.83262940937858e-05,30,2
"31","Bliss","SS",0.541980498360456,-1.4179834861796,2.50194448290051,0.587831940442994,3,2
"32","Bliss","SS",1.88557210539519,-0.0743918791448635,3.84553608993524,0.0593526393060541,6,2
"33","Bliss","SS",3.46750827298144,1.50754428844138,5.42747225752149,0.00052530757193257,9,2
"34","Bliss","SS",3.01990088868219,1.05993690414214,4.97986487322225,0.00252857414694016,12,2
"35","Bliss","SS",3.06631315968444,1.10634917514439,5.02627714422449,0.00216716204967473,15,2
"36","Bliss","SS",3.17019952636964,1.21023554182959,5.1301635109097,0.00152334294148483,18,2
"37","Bliss","SS",2.84473049350227,0.884766508962219,4.80469447804233,0.00444490137790837,21,2
"38","Bliss","SS",3.46947181980361,1.50950783526356,5.42943580434367,0.000521482770555343,24,2
"39","Bliss","SS",4.01848924544893,2.05852526090888,5.97845322998899,5.85724820719171e-05,27,2
"40","Bliss","SS",4.11734450912191,2.15738052458185,6.07730849366196,3.83262940937858e-05,30,2
"41","Bliss","CI",0.895455309191952,0.576117325494758,1.39180020332048,0.623612924049015,3,3
"42","Bliss","CI",0.834291014791012,0.567875833998847,1.22569311051618,0.355961978703386,6,3
"43","Bliss","CI",0.831381870515725,0.523890295653227,1.31935220094197,0.43318980174705,9,3
"44","Bliss","CI",0.866157384343272,0.582525952621048,1.2878887388223,0.47774692879817,12,3
"45","Bliss","CI",0.695055233350312,0.47257380438272,1.02227794458199,0.0645983271043445,15,3
"46","Bliss","CI",0.661250663809501,0.456592269764982,0.957643108179577,0.0285957102509849,18,3
"47","Bliss","CI",0.67398046702263,0.459336774963483,0.988925108302411,0.0437067073118826,21,3
"48","Bliss","CI",0.599653604580632,0.402130890626389,0.894197520927648,0.0121245840525831,24,3
"49","Bliss","CI",0.562378103280017,0.362237293274263,0.8730993106482,0.0103284923722309,27,3
"50","Bliss","CI",0.498753465979568,0.322178605554729,0.77210285083432,0.00180882397370792,30,3
"51","Bliss","SS",0.490736363211812,-1.46922762132824,2.45070034775187,0.623612924049015,3,3
"52","Bliss","SS",0.923086788982426,-1.03687719555763,2.88305077352248,0.355961978703386,6,3
"53","Bliss","SS",0.783744915342946,-1.17621906919711,2.743708899883,0.43318980174705,9,3
"54","Bliss","SS",0.709930994758039,-1.25003298978201,2.66989497929809,0.47774692879817,12,3
"55","Bliss","SS",1.84802775977776,-0.111936224762295,3.80799174431781,0.0645983271043445,15,3
"56","Bliss","SS",2.18901554409418,0.229051559554126,4.14897952863423,0.0285957102509849,18,3
"57","Bliss","SS",2.01689274540148,0.0569287608614289,3.97685672994154,0.0437067073118826,21,3
"58","Bliss","SS",2.50849745803117,0.548533473491115,4.46846144257122,0.0121245840525831,24,3
"59","Bliss","SS",2.56463321176102,0.60466922722097,4.52459719630108,0.0103284923722309,27,3
"60","Bliss","SS",3.11994893026852,1.15998494572846,5.07991291480857,0.00180882397370792,30,3
