"","Cell","Figure","CAGE","MOUSE","Treatment","Day","RLU"
"65","U87MG","Fig5A","520","520_6_AZD2014","AZD2014",7,"9420000"
"66","U87MG","Fig5A","520","520_6_AZD2014","AZD2014",14,"420000"
"67","U87MG","Fig5A","520","520_6_AZD2014","AZD2014",18,"4.7e+08"
"68","U87MG","Fig5A","520","520_6_AZD2014","AZD2014",21,"1.1e+09"
"69","U87MG","Fig5A","520","520_6_AZD2014","AZD2014",25,"1.3e+09"
"70","U87MG","Fig5A","520","520_6_AZD2014","AZD2014",28,"2.4e+09"
"71","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",0,"27100000"
"72","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",7,"22800000"
"73","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",14,"89000000"
"74","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",18,"3.2e+08"
"75","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",21,"3.4e+08"
"76","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",25,"3.5e+09"
"77","U87MG","Fig5A","516","516_2_AZD2014","AZD2014",28,"1.4e+09"
"78","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",0,"31300000"
"79","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",7,"21300000"
"80","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",14,"81000000"
"81","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",18,"8.1e+07"
"82","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",21,"8.1e+07"
"83","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",25,"8.1e+07"
"84","U87MG","Fig5A","515","515_6_AZD2014","AZD2014",28,"8.1e+07"
"85","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",0,"57100000"
"86","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",7,"15000000"
"87","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",14,"43000000"
"88","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",18,"3e+08"
"89","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",21,"3.9e+08"
"90","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",25,"3.7e+07"
"91","U87MG","Fig5A","515","515_4_AZD2014","AZD2014",28,"1.7e+09"
"92","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",0,"121000000"
"93","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",7,"90900000"
"94","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",14,"200000000"
"95","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",18,"2200000"
"96","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",21,"1.4e+09"
"97","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",25,"3.2e+09"
"98","U87MG","Fig5A","516","516_6_AZD2014","AZD2014",28,"5e+09"
"99","U87MG","Fig5A","518","518_6_DOC","DOC",0,"222000"
"100","U87MG","Fig5A","518","518_6_DOC","DOC",7,"29700000"
"101","U87MG","Fig5A","518","518_6_DOC","DOC",14,"390000"
"102","U87MG","Fig5A","518","518_6_DOC","DOC",18,"1.6e+08"
"103","U87MG","Fig5A","518","518_6_DOC","DOC",21,"1800000"
"104","U87MG","Fig5A","518","518_6_DOC","DOC",25,"4200000"
"105","U87MG","Fig5A","518","518_6_DOC","DOC",28,"1.1e+07"
"106","U87MG","Fig5A","516","516_3_DOC","DOC",0,"13100000"
"107","U87MG","Fig5A","516","516_3_DOC","DOC",7,"12200000"
"108","U87MG","Fig5A","516","516_3_DOC","DOC",14,"1400000"
"109","U87MG","Fig5A","516","516_3_DOC","DOC",18,"1.7e+08"
"110","U87MG","Fig5A","516","516_3_DOC","DOC",21,"1.1e+08"
"111","U87MG","Fig5A","516","516_3_DOC","DOC",25,"1.6e+08"
"112","U87MG","Fig5A","516","516_3_DOC","DOC",28,"3.8e+08"
"113","U87MG","Fig5A","518","518_5_DOC","DOC",0,"20100000"
"114","U87MG","Fig5A","518","518_5_DOC","DOC",7,"451000"
"115","U87MG","Fig5A","518","518_5_DOC","DOC",14,"54000"
"116","U87MG","Fig5A","518","518_5_DOC","DOC",18,"8e+06"
"117","U87MG","Fig5A","518","518_5_DOC","DOC",21,"9.5e+07"
"118","U87MG","Fig5A","518","518_5_DOC","DOC",25,"3.6e+07"
"119","U87MG","Fig5A","518","518_5_DOC","DOC",28,"4.1e+08"
"120","U87MG","Fig5A","519","519_3_DOC","DOC",0,"25700000"
"121","U87MG","Fig5A","519","519_3_DOC","DOC",7,"440000"
