Cell,MouseID,Treatment,TumVol,Day,Figure
MAS98.06,Her_Trast (HB151:1),Her_Trast,135,0,Fig. 4b
MAS98.06,Her_Trast (HB151:1),Her_Trast,128.5625,4,Fig. 4b
MAS98.06,Her_Trast (HB151:1),Her_Trast,153,7,Fig. 4b
MAS98.06,Her_Trast (HB151:1),Her_Trast,144,11,Fig. 4b
MAS98.06,Her_Trast (HB151:1),Her_Trast,153,14,Fig. 4b
MAS98.06,Her_Trast (HB151:1),Her_Trast,211.25,18,Fig. 4b
MAS98.06,Her_Trast (HB151:1),Her_Trast,281.25,23,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,327.4375,0,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,235.375,2,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,379.75,5,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,314.5625,9,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,647.1875,12,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,578.25,16,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,645.125,19,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,748.6875,23,Fig. 4b
MAS98.06,Her_Trast (HB151:3),Her_Trast,850.5,28,Fig. 4b
