"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.908561221245166,0.0610087743105821,0.802532430733567,1.04316902832441,0.0758,3
"5","Synergy_score",6.08393058487109,4.70768250111958,-2.3378272877124,16.0866707990171,0.0758,3
"6","CI",0.726408061301505,0.169282273317323,0.480870897137434,1.15414094196334,0.0758,10
"7","Synergy_score",7.03530193817846,7.47853278025417,-1.88271678499834,26.1829968966264,0.0758,10
"8","CI",0.580773930457488,0.248536322835299,0.28858996400938,1.27993736471687,0.0758,17
"9","Synergy_score",4.16632683973424,6.51001984927309,-0.760887393156383,22.7358296513294,0.0758,17
"10","CI",0.511068808259727,0.287109377379253,0.215482126659418,1.35808784177657,0.0758,21
"11","Synergy_score",2.82243908139109,5.62717917314893,-0.407231685667567,19.2441257697411,0.0758,21
"12","CI",0.408607030014813,0.350589287175157,0.129622363880347,1.5062905959299,0.0758,28
"13","Synergy_score",1.31940644539488,4.18737088913025,-0.123377304109108,13.6296326414713,0.0758,28
"14","CI",0.348254038897176,0.396948070036624,0.0902415784556355,1.62284750722686,0.0758,33
"15","Synergy_score",0.737344617348671,3.36211987947955,-0.0518838441165275,10.30874590784,0.0758,33
