"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.904689362929316,0.018661429494404,0.871408686812225,0.944627997703773,0,3
"5","Synergy_score",9.11851146947307,2.01260193832174,5.02226970160219,12.862203245657,0,3
"6","CI",0.818462843397453,0.03383967771106,0.759365588489413,0.892357202361603,0,6
"7","Synergy_score",16.6161606093307,3.93576504336105,8.85381535579768,24.1617647706534,0,6
"8","CI",0.740454628374559,0.0460511449593841,0.661726057084553,0.843027785492544,0,9
"9","Synergy_score",22.7279893626919,5.77337836238792,11.7361266163863,34.0649050848854,0,9
"10","CI",0.669881426022243,0.0557409928833364,0.576736815239489,0.796439377462308,0,12
"11","Synergy_score",27.6566940546142,7.52725696342911,13.7965818527545,42.7920998159167,0,12
"12","CI",0.606034600546245,0.0632927244708571,0.502802061175941,0.752394376596249,0,15
"13","Synergy_score",31.577006920714,9.19840674368361,15.208242825147,50.5383396105718,0,15
"14","CI",0.548273056681306,0.0690364840220677,0.438245510874967,0.710984603694045,0,18
"15","Synergy_score",34.6394870655478,10.7877618575355,16.1324219434995,57.5756352735357,0,18
"16","CI",0.496016802360319,0.0732562485801815,0.381967235048441,0.672192528894055,0,21
"17","Synergy_score",36.973800324782,12.2965783790451,16.5939264314649,63.6533528127594,0,21
"18","CI",0.448741124929594,0.0761960591758552,0.332919298525944,0.635441294695737,0,24
"19","Synergy_score",38.6915568157025,13.7266112759603,16.7416097665903,69.0075212886845,0,24
"20","CI",0.405971322432739,0.078065420240177,0.290223130443031,0.600561219821809,0,27
"21","Synergy_score",39.888765708663,15.0801601002244,16.6223749142762,73.7574546735687,0,27
"22","CI",0.367277937059247,0.0790439782680032,0.25304506698903,0.567546031812772,0,30
"23","Synergy_score",40.6479587443376,16.3600394388819,16.2964659254699,78.0040170907198,0,30
