"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",0.725684071461243,0.108821863288796,0.544172683427769,0.9670442922559,0.0159,8
"5","Synergy_score",12.5186554781133,7.68412082052368,1.03111211274014,31.1326444990961,0.0159,8
"6","CI",0.548152920463241,0.160992932831267,0.320013601367625,0.940682163215707,0.0159,15
"7","Synergy_score",10.3798593676676,8.52791940654488,0.682052990766513,33.6296885307311,0.0159,15
"8","CI",0.466955534946329,0.180078286942437,0.236295313607413,0.927109163900879,0.0159,19
"9","Synergy_score",8.27211871876012,8.11607281582339,0.489537146674105,31.4565254249511,0.0159,19
"10","CI",0.30047162421238,0.21061405571113,0.103203704126599,0.893089326104917,0.0159,30
"11","Synergy_score",3.69152076517995,6.13334510489615,0.168432514141072,23.2038254075761,0.0159,30
"12","CI",0.236245833285175,0.22024381236796,0.0657500931057997,0.874458458958105,0.0159,36
"13","Synergy_score",2.237863372983,5.08469414329872,0.0846666467051558,18.6666578102358,0.0159,36
